Mã PKKH,Mã khách hàng,Total Days
C1,CUZ00381,0.0
A1,CUZ00382,0.0
B2,CUZ00383,0.0
A3,CUZ00384,0.0
C3,CUZ00385,0.0
A3,CUZ00386,60.0
A1,CUZ00387,0.0
B1,CUZ00388,97.0
A1,CUZ00389,0.0
C1,CUZ00390,0.0
A1,CUZ00391,0.0
B2,CUZ00392,0.0
A3,CUZ00393,0.0
C3,CUZ00394,25.0
B3,CUZ00395,0.0
C1,CUZ00396,0.0
A1,CUZ00397,0.0
C1,CUZ00398,0.0
C1,CUZ00399,61.0
C1,CUZ00400,0.0
C2,CUZ00401,0.0
A1,CUZ00402,41.0
A3,CUZ00403,0.0
B1,CUZ00404,0.0
A2,CUZ00405,0.0
B1,CUZ00406,0.0
B1,CUZ00407,0.0
C3,CUZ00408,0.0
C2,CUZ00409,0.0
C1,CUZ00410,0.0
A1,CUZ00411,91.0
C2,CUZ00412,0.0
C3,CUZ00413,0.0
C1,CUZ00414,0.0
C2,CUZ00415,0.0
B2,CUZ00416,0.0
C1,CUZ00417,0.0
B2,CUZ00418,0.0
A1,CUZ00419,141.0
C1,CUZ00420,0.0
A2,CUZ00421,56.0
B3,CUZ00422,0.0
B2,CUZ00423,0.0
B3,CUZ00424,0.0
B3,CUZ00425,0.0
C2,CUZ00426,0.0
C3,CUZ00427,0.0
C3,CUZ00428,0.0
C2,CUZ00429,0.0
C2,CUZ00430,24.0
B2,CUZ00431,0.0
B3,CUZ00432,0.0
C3,CUZ00433,0.0
B2,CUZ00434,0.0
A2,CUZ00435,0.0
A1,CUZ00436,0.0
A3,CUZ00437,0.0
C3,CUZ00438,0.0
A1,CUZ00439,0.0
A1,CUZ00440,0.0
B2,CUZ00441,0.0
B1,CUZ00442,68.0
A2,CUZ00443,105.0
B2,CUZ00444,0.0
A3,CUZ00445,0.0
B1,CUZ00446,0.0
A3,CUZ00447,0.0
A1,CUZ00448,0.0
B3,CUZ00449,0.0
A1,CUZ00450,0.0
B2,CUZ00451,0.0
A1,CUZ00452,31.8
C1,CUZ00453,0.0
C3,CUZ00454,29.0
A2,CUZ00455,0.0
B1,CUZ00456,0.0
A3,CUZ00457,0.0
B2,CUZ00458,0.0
B2,CUZ00459,0.0
C1,CUZ00460,0.0
B3,CUZ00461,0.0
C3,CUZ00462,0.0
A2,CUZ00463,0.0
A1,CUZ00464,0.0
B1,CUZ00465,0.0
C1,CUZ00466,0.0
A2,CUZ00467,0.0
B3,CUZ00468,0.0
B2,CUZ00469,0.0
B3,CUZ00470,0.0
C3,CUZ00471,0.0
B2,CUZ00472,0.0
B3,CUZ00473,0.0
A2,CUZ00474,36.0
A3,CUZ00475,0.0
A2,CUZ00476,0.0
A3,CUZ00477,0.0
C1,CUZ00478,0.0
A3,CUZ00479,0.0
C1,CUZ00480,0.0
B1,CUZ00481,0.0
A2,CUZ00482,0.0
C3,CUZ00483,0.0
A3,CUZ00484,0.0
B1,CUZ00485,0.0
B3,CUZ00486,0.0
C1,CUZ00487,0.0
C1,CUZ00488,0.0
C2,CUZ00489,0.0
A3,CUZ00490,0.0
B1,CUZ00491,0.0
C2,CUZ00492,0.0
A3,CUZ00493,0.0
A3,CUZ00494,0.0
A2,CUZ00495,0.0
B3,CUZ00496,0.0
C1,CUZ00497,0.0
A2,CUZ00498,0.0
B1,CUZ00499,0.0
A3,CUZ00500,0.0
C3,CUZ00501,0.0
B3,CUZ00502,0.0
A1,CUZ00503,0.0
A3,CUZ00504,270.0
A1,CUZ00505,42.0
B2,CUZ00506,0.0
A3,CUZ00507,120.0
B3,CUZ00508,0.0
B3,CUZ00509,0.0
C1,CUZ00510,0.0
A3,CUZ00511,0.0
A3,CUZ00512,0.0
B3,CUZ00513,0.0
C2,CUZ00514,0.0
A3,CUZ00515,53.0
B2,CUZ00516,0.0
B3,CUZ00517,0.0
A1,CUZ00518,18.0
C2,CUZ00519,0.0
A1,CUZ00520,69.5
B1,CUZ00521,0.0
A2,CUZ00522,0.0
C2,CUZ00523,0.0
B1,CUZ00524,0.0
A3,CUZ00525,0.0
B1,CUZ00526,0.0
A1,CUZ00527,0.0
C1,CUZ00528,0.0
A2,CUZ00529,0.0
B2,CUZ00530,0.0
A3,CUZ00531,0.0
A1,CUZ00532,0.0
A1,CUZ00533,41.2
A3,CUZ00534,0.0
A3,CUZ00535,0.0
A2,CUZ00536,0.0
A2,CUZ00537,0.0
C3,CUZ00538,0.0
B1,CUZ00539,0.0
A1,CUZ00540,0.0
B1,CUZ00541,138.5
C1,CUZ00542,0.0
C1,CUZ00543,0.0
B2,CUZ00544,0.0
C1,CUZ00545,0.0
A1,CUZ00546,0.0
A1,CUZ00547,34.5
A1,CUZ00548,0.0
A1,CUZ00549,65.3
C1,CUZ00550,0.0
A1,CUZ00551,0.0
A3,CUZ00552,0.0
A1,CUZ00553,64.0
A1,CUZ00554,41.7
A1,CUZ00555,35.0
A3,CUZ00556,0.0
A1,CUZ00557,31.0
A2,CUZ00558,92.7
C1,CUZ00559,52.0
A2,CUZ00560,0.0
B1,CUZ00561,0.0
B1,CUZ00562,0.0
A3,CUZ00563,0.0
A2,CUZ00564,0.0
A1,CUZ00565,72.0
C1,CUZ00566,0.0
A2,CUZ00567,0.0
A1,CUZ00568,0.0
A1,CUZ00569,0.0
A2,CUZ00570,71.0
A1,CUZ00571,0.0
A1,CUZ00572,0.0
B2,CUZ00573,0.0
A1,CUZ00574,0.0
B1,CUZ00575,0.0
A1,CUZ00576,0.0
A3,CUZ00577,0.0
A1,CUZ00578,0.0
B2,CUZ00579,0.0
A3,CUZ00580,0.0
A3,CUZ00581,0.0
A2,CUZ00582,0.0
B3,CUZ00583,0.0
A1,CUZ00584,0.0
A1,CUZ00585,35.8
A1,CUZ00586,105.0
A1,CUZ00587,0.0
A1,CUZ00588,24.0
A3,CUZ00589,0.0
C1,CUZ00590,0.0
A1,CUZ00591,0.0
A1,CUZ00592,0.0
B1,CUZ00593,0.0
A1,CUZ00594,78.0
A2,CUZ00595,64.0
C1,CUZ00596,0.0
A2,CUZ00597,0.0
C1,CUZ00598,0.0
A1,CUZ00599,86.0
A1,CUZ00600,0.0
B3,CUZ00601,0.0
C2,CUZ00602,0.0
A2,CUZ00603,0.0
A1,CUZ00604,0.0
A2,CUZ00605,0.0
A2,CUZ00606,0.0
B2,CUZ00607,0.0
C2,CUZ00608,0.0
A1,CUZ00609,40.0
B2,CUZ00610,0.0
A1,CUZ00611,61.0
A1,CUZ00612,0.0
B1,CUZ00613,0.0
C2,CUZ00614,41.0
B1,CUZ00615,0.0
A2,CUZ00616,0.0
A3,CUZ00617,0.0
A1,CUZ00618,37.5
A1,CUZ00619,0.0
A2,CUZ00620,0.0
A1,CUZ00621,0.0
A1,CUZ00622,49.8
A1,CUZ00623,50.8
B3,CUZ00624,0.0
B3,CUZ00625,0.0
B1,CUZ00626,0.0
A1,CUZ00627,0.0
C1,CUZ00628,0.0
C1,CUZ00629,0.0
B2,CUZ00630,0.0
A2,CUZ00631,0.0
C2,CUZ00632,0.0
B1,CUZ00633,0.0
A3,CUZ00634,0.0
B3,CUZ00635,0.0
B3,CUZ00636,0.0
A1,CUZ00637,0.0
A1,CUZ00638,43.4
C1,CUZ00639,0.0
C2,CUZ00640,0.0
B3,CUZ00641,0.0
C1,CUZ00642,0.0
A1,CUZ00643,0.0
A1,CUZ00644,0.0
B1,CUZ00645,0.0
B2,CUZ00646,0.0
A3,CUZ00647,0.0
C1,CUZ00648,0.0
B1,CUZ00649,0.0
A3,CUZ00650,0.0
A2,CUZ00651,0.0
A1,CUZ00652,34.6
A1,CUZ00653,0.0
A2,CUZ00654,0.0
A1,CUZ00655,40.7
C2,CUZ00656,0.0
B3,CUZ00657,0.0
B2,CUZ00658,0.0
A1,CUZ00659,0.0
B1,CUZ00660,0.0
A1,CUZ00661,0.0
A3,CUZ00662,0.0
A2,CUZ00663,0.0
C1,CUZ00664,0.0
C3,CUZ00665,0.0
C2,CUZ00666,0.0
B2,CUZ00667,0.0
B2,CUZ00668,0.0
B3,CUZ00669,0.0
C1,CUZ00670,0.0
A1,CUZ00671,0.0
A3,CUZ00672,81.3
B1,CUZ00673,0.0
A2,CUZ00674,59.0
A3,CUZ00675,0.0
A1,CUZ00676,42.5
A1,CUZ00677,43.8
A1,CUZ00678,0.0
B1,CUZ00679,0.0
C1,CUZ00680,0.0
C1,CUZ00681,0.0
B2,CUZ00682,0.0
C1,CUZ00683,0.0
A3,CUZ00684,0.0
A3,CUZ00685,0.0
A3,CUZ00686,0.0
B2,CUZ00687,0.0
A3,CUZ00688,0.0
A1,CUZ00689,0.0
C1,CUZ00690,0.0
A1,CUZ00691,46.0
A1,CUZ00692,0.0
B1,CUZ00693,0.0
B1,CUZ00694,0.0
A1,CUZ00695,0.0
C2,CUZ00696,0.0
A1,CUZ00697,0.0
A1,CUZ00698,78.3
A1,CUZ00699,0.0
A1,CUZ00700,40.2
B2,CUZ00701,0.0
A1,CUZ00702,129.0
A2,CUZ00703,0.0
A1,CUZ00704,8.0
A3,CUZ00705,0.0
A1,CUZ00706,29.8
A1,CUZ00707,12.0
C1,CUZ00708,144.0
A1,CUZ00709,55.0
B2,CUZ00710,0.0
A1,CUZ00711,28.2
B2,CUZ00712,0.0
A1,CUZ00713,25.0
C1,CUZ00714,0.0
B3,CUZ00715,0.0
B2,CUZ00716,0.0
C2,CUZ00717,0.0
A3,CUZ00718,0.0
A1,CUZ00719,63.0
A1,CUZ00720,0.0
A3,CUZ00721,0.0
C1,CUZ00722,0.0
A1,CUZ00723,29.7
A1,CUZ00724,0.0
C3,CUZ00725,0.0
A1,CUZ00726,0.0
B3,CUZ00727,0.0
A1,CUZ00728,31.8
B2,CUZ00729,0.0
A1,CUZ00730,0.0
A2,CUZ00731,0.0
A1,CUZ00732,34.5
A1,CUZ00733,0.0
A1,CUZ00734,0.0
C2,CUZ00735,127.0
B1,CUZ00736,273.0
A1,CUZ00737,46.4
A3,CUZ00738,0.0
A1,CUZ00739,42.8
A1,CUZ00740,0.0
B1,CUZ00741,44.0
A1,CUZ00742,44.7
A1,CUZ00743,48.2
B1,CUZ00744,30.5
A3,CUZ00745,0.0
A1,CUZ00746,0.0
B3,CUZ00747,0.0
A1,CUZ00748,64.2
C1,CUZ00749,0.0
C2,CUZ00750,0.0
A3,CUZ00751,0.0
A1,CUZ00752,43.8
A1,CUZ00753,0.0
A3,CUZ00754,0.0
A1,CUZ00755,44.5
C1,CUZ00756,0.0
A1,CUZ00757,0.0
B1,CUZ00758,0.0
A2,CUZ00759,0.0
A2,CUZ00760,45.5
A2,CUZ00761,45.5
B1,CUZ00762,0.0
A1,CUZ00763,0.0
A3,CUZ00764,0.0
C1,CUZ00765,0.0
B2,CUZ00766,0.0
B1,CUZ00767,0.0
B1,CUZ00768,221.0
C1,CUZ00769,0.0
C2,CUZ00770,0.0
A2,CUZ00771,0.0
A3,CUZ00772,0.0
A1,CUZ00773,40.4
A3,CUZ00774,0.0
C1,CUZ00775,0.0
A1,CUZ00776,0.0
B2,CUZ00777,0.0
B1,CUZ00778,0.0
B3,CUZ00779,0.0
C1,CUZ00780,0.0
B1,CUZ00781,0.0
C1,CUZ00782,0.0
C1,CUZ00783,0.0
A1,CUZ00784,42.3
B2,CUZ00785,0.0
A2,CUZ00786,0.0
C2,CUZ00787,0.0
B3,CUZ00788,0.0
B1,CUZ00789,66.8
B3,CUZ00790,0.0
A1,CUZ00791,0.0
A1,CUZ00792,38.0
A2,CUZ00793,55.0
A1,CUZ00794,0.0
C2,CUZ00795,0.0
C1,CUZ00796,0.0
B2,CUZ00797,0.0
A2,CUZ00798,0.0
A1,CUZ00799,50.0
A1,CUZ00800,122.0
C1,CUZ00801,0.0
C1,CUZ00802,0.0
A2,CUZ00803,0.0
A1,CUZ00804,37.0
B3,CUZ00805,0.0
B2,CUZ00806,0.0
A1,CUZ00807,43.8
B3,CUZ00808,0.0
A1,CUZ00809,56.5
B1,CUZ00810,0.0
A2,CUZ00811,0.0
C1,CUZ00812,0.0
A1,CUZ00813,39.0
B1,CUZ00814,0.0
A2,CUZ00815,0.0
C1,CUZ00816,0.0
A1,CUZ00817,56.0
A2,CUZ00818,0.0
B2,CUZ00819,0.0
C1,CUZ00820,93.5
A1,CUZ00821,0.0
A2,CUZ00822,66.0
A3,CUZ00823,0.0
B1,CUZ00824,0.0
B2,CUZ00825,0.0
B1,CUZ00826,0.0
A2,CUZ00827,0.0
A3,CUZ00828,0.0
A1,CUZ00829,0.0
C1,CUZ00830,0.0
A1,CUZ00831,0.0
A1,CUZ00832,31.0
C1,CUZ00833,0.0
A2,CUZ00834,0.0
A1,CUZ00835,0.0
A1,CUZ00836,43.8
A2,CUZ00837,0.0
A1,CUZ00838,0.0
B3,CUZ00839,0.0
A2,CUZ00840,0.0
B1,CUZ00841,0.0
B1,CUZ00842,0.0
B3,CUZ00843,0.0
A1,CUZ00844,77.3
B1,CUZ00845,0.0
B1,CUZ00846,0.0
B2,CUZ00847,0.0
A1,CUZ00848,0.0
B3,CUZ00849,0.0
A3,CUZ00850,0.0
A1,CUZ00851,60.2
A1,CUZ00852,0.0
B1,CUZ00853,0.0
A2,CUZ00854,0.0
A3,CUZ00855,0.0
A1,CUZ00856,0.0
B2,CUZ00857,0.0
A1,CUZ00858,41.6
A3,CUZ00859,0.0
A3,CUZ00860,0.0
C1,CUZ00861,0.0
A2,CUZ00862,0.0
A1,CUZ00863,39.4
A3,CUZ00864,0.0
C2,CUZ00865,0.0
B1,CUZ00866,72.0
B3,CUZ00867,0.0
C2,CUZ00868,0.0
A1,CUZ00869,53.5
B3,CUZ00870,0.0
A2,CUZ00871,0.0
B1,CUZ00872,120.0
A1,CUZ00873,0.0
C3,CUZ00874,0.0
A1,CUZ00875,0.0
C1,CUZ00876,0.0
B2,CUZ00877,0.0
C1,CUZ00878,0.0
B2,CUZ00879,0.0
A2,CUZ00880,128.0
A1,CUZ00881,41.2
A1,CUZ00882,0.0
A3,CUZ00883,0.0
C1,CUZ00884,0.0
C1,CUZ00885,41.5
A3,CUZ00886,0.0
A1,CUZ00887,0.0
A3,CUZ00888,92.0
A2,CUZ00889,0.0
A1,CUZ00890,0.0
B2,CUZ00891,0.0
B1,CUZ00892,0.0
C2,CUZ00893,0.0
B1,CUZ00894,0.0
A1,CUZ00895,240.0
A1,CUZ00896,0.0
B3,CUZ00897,0.0
B3,CUZ00898,0.0
B2,CUZ00899,0.0
B3,CUZ00900,0.0
C1,CUZ00901,0.0
B3,CUZ00902,0.0
A2,CUZ00903,0.0
A1,CUZ00904,44.0
A1,CUZ00905,0.0
B1,CUZ00906,0.0
A3,CUZ00907,0.0
A3,CUZ00908,0.0
A3,CUZ00909,0.0
B1,CUZ00910,135.0
B2,CUZ00911,0.0
B3,CUZ00912,0.0
A3,CUZ00913,0.0
A1,CUZ00914,118.5
A1,CUZ00915,0.0
A1,CUZ00916,0.0
B1,CUZ00917,0.0
A3,CUZ00918,0.0
A3,CUZ00919,0.0
A1,CUZ00920,60.2
A1,CUZ00921,0.0
B1,CUZ00922,0.0
C1,CUZ00923,0.0
A1,CUZ00924,44.0
B1,CUZ00925,0.0
C2,CUZ00926,0.0
A2,CUZ00927,0.0
B1,CUZ00928,0.0
A3,CUZ00929,0.0
C2,CUZ00930,0.0
C2,CUZ00931,0.0
C2,CUZ00932,0.0
C2,CUZ00933,0.0
C2,CUZ00934,0.0
A1,CUZ00935,0.0
A1,CUZ00936,0.0
B2,CUZ00937,0.0
A3,CUZ00938,0.0
C1,CUZ00939,0.0
B2,CUZ00940,0.0
A2,CUZ00941,81.5
B2,CUZ00942,0.0
B2,CUZ00943,0.0
C2,CUZ00944,58.5
A1,CUZ00945,0.0
A3,CUZ00946,0.0
A3,CUZ00947,0.0
A1,CUZ00948,0.0
B1,CUZ00949,0.0
C2,CUZ00950,0.0
B1,CUZ00951,0.0
A2,CUZ00952,0.0
A2,CUZ00953,0.0
B1,CUZ00954,0.0
B3,CUZ00955,0.0
A3,CUZ00956,0.0
A1,CUZ00957,0.0
B3,CUZ00958,0.0
A1,CUZ00959,0.0
B2,CUZ00960,0.0
C1,CUZ00961,0.0
C1,CUZ00962,0.0
B2,CUZ00963,0.0
B2,CUZ00964,0.0
B1,CUZ00965,0.0
A1,CUZ00966,0.0
A1,CUZ00967,36.4
A1,CUZ00968,0.0
A2,CUZ00969,40.0
B2,CUZ00970,0.0
C2,CUZ00971,0.0
A1,CUZ00972,70.3
A1,CUZ00973,0.0
B1,CUZ00974,0.0
A1,CUZ00975,38.3
A1,CUZ00976,30.0
B1,CUZ00977,0.0
A3,CUZ00978,0.0
C1,CUZ00979,146.0
C1,CUZ00980,68.0
B1,CUZ00981,0.0
B3,CUZ00982,0.0
A1,CUZ00983,44.0
A1,CUZ00984,56.0
A3,CUZ00985,0.0
A2,CUZ00986,220.0
C1,CUZ00987,0.0
A2,CUZ00988,0.0
C3,CUZ00989,0.0
A1,CUZ00990,0.0
B2,CUZ00991,0.0
A1,CUZ00992,82.3
A1,CUZ00993,32.3
A1,CUZ00994,26.0
B1,CUZ00995,0.0
