label,count_share,parent
Overall,,
champions,0.10147133434804667,Overall
new customers,0.020801623541349568,Overall
potential loyalist,0.16920345002536782,Overall
promising,0.03678335870116692,Overall
loyal customers,0.12100456621004566,Overall
needing attention,0.05733130390664637,Overall
about to sleep,0.09563673262303399,Overall
hibernating,0.2067478437341451,Overall
cant lose them,0.03272450532724505,Overall
at risk,0.1582952815829528,Overall
